Metoda,Klasyfikacja,F1 mean,F1 std,Precision mean,Precision std,Recall mean,Recall std,Balanced accuracy mean,Balanced accuracy std,Valid folds
Naive bayes No Oversampling,9:1,0.6261804405890421,0.009510675337695252,0.5024589509037127,0.010495963937406979,0.8310521337999577,0.013854787895761798,0.8675297053633729,0.006693531489223839,10
Naive bayes No Oversampling,99:1,0.6113192100391115,0.027865831801742413,0.8040536532464945,0.04554095068302178,0.49413786250147834,0.029182124089045015,0.7460625287335094,0.014639793013325065,10
Naive bayes No Oversampling,999:1,0.008,0.024000000000000004,0.1,0.30000000000000004,0.004166666666666667,0.012499999999999999,0.5020531603404282,0.006260380793713021,10
Naive bayes No Oversampling,CreditCard,0.4186810413389853,0.0795108241975224,0.27537246198044746,0.070977863757218,0.9285756056808688,0.06837539635778661,0.9592334682187588,0.032561922921777835,10
Naive bayes No Oversampling,TelcoChurn,0.5800658412587855,0.0038420036193984124,0.43397105125383195,0.00570689717653159,0.874846105489252,0.013613113614335056,0.73120932055853,0.00208821560203326,10
Naive bayes Random Oversampling,9:1,0.5411785314091964,0.009267224706267929,0.37908582005685637,0.009267867612559936,0.945974809861372,0.009843377060043073,0.8825764428806073,0.003384521047915725,10
Naive bayes Random Oversampling,99:1,0.21362799877544458,0.012897486751614746,0.1299114852322205,0.010089792355673494,0.6071146816550337,0.03018027036044919,0.7695405909996668,0.012878889674774805,10
Naive bayes Random Oversampling,999:1,0.013772884626525872,0.0034848159761279494,0.007016387233905059,0.001777622544259791,0.3935556716591199,0.12898561200778105,0.5389991344693221,0.04979330217957692,10
Naive bayes Random Oversampling,CreditCard,0.3807794655417352,0.08259848170899868,0.24369548851887682,0.06820278936204854,0.9338387635756057,0.06758923579229632,0.9609110920268433,0.032096331329427866,10
Naive bayes Random Oversampling,TelcoChurn,0.5732870824064027,0.005324619030558032,0.42335362875752186,0.008057095951769148,0.888401943507044,0.01634057406662265,0.7253571640781173,0.004529985230374539,10
Naive bayes SMOTE,9:1,0.5641587357175523,0.012741145659381106,0.4101221971160548,0.013713566997179039,0.9043491269884925,0.008660265381527732,0.8762158560485511,0.0022195807719622303,10
Naive bayes SMOTE,99:1,0.19533565655262347,0.019776775355993356,0.11607966104519254,0.01403576487399851,0.625753342316983,0.02864005276695672,0.7726792086983532,0.013965062908928086,10
Naive bayes SMOTE,999:1,0.010197630168756047,0.002563895322364099,0.005217880074814649,0.0013068712601390833,0.23220592625765035,0.08682629772199663,0.4922387730936042,0.02759940340483831,10
